Day_Id,Date,Day_In_Week,Day_In_Month,Day_In_Year,Week_In_Month,Week_In_Year,Month,Quarter,Year
82,4/5/2015,1,5,95,1,15,4,2,2015
54,4/6/2015,2,6,96,1,15,4,2,2015
12,4/7/2015,3,7,97,1,15,4,2,2015
31,4/8/2015,4,8,98,2,15,4,2,2015
73,4/9/2015,5,9,99,2,15,4,2,2015
91,4/10/2015,6,10,100,2,15,4,2,2015
14,4/11/2015,7,11,101,2,15,4,2,2015
72,4/12/2015,1,12,102,2,16,4,2,2015
59,4/13/2015,2,13,103,2,16,4,2,2015
69,4/14/2015,3,14,104,2,16,4,2,2015
48,4/15/2015,4,15,105,3,16,4,2,2015
33,4/16/2015,5,16,106,3,16,4,2,2015
78,4/17/2015,6,17,107,3,16,4,2,2015
42,4/18/2015,7,18,108,3,16,4,2,2015
32,4/19/2015,1,19,109,3,17,4,2,2015
74,4/20/2015,2,20,110,3,17,4,2,2015
88,4/21/2015,3,21,111,3,17,4,2,2015
47,4/22/2015,4,22,112,4,17,4,2,2015
84,4/23/2015,5,23,113,4,17,4,2,2015
61,4/24/2015,6,24,114,4,17,4,2,2015
41,4/25/2015,7,25,115,4,17,4,2,2015
92,4/26/2015,1,26,116,4,18,4,2,2015
75,4/27/2015,2,27,117,4,18,4,2,2015
37,4/28/2015,3,28,118,4,18,4,2,2015
9,4/29/2015,4,29,119,5,18,4,2,2015
71,4/30/2015,5,30,120,5,18,4,2,2015
86,5/1/2015,6,1,121,1,18,5,2,2015
66,5/2/2015,7,2,122,1,18,5,2,2015
6,5/3/2015,1,3,123,1,19,5,2,2015
51,5/4/2015,2,4,124,1,19,5,2,2015
26,5/5/2015,3,5,125,1,19,5,2,2015
44,5/6/2015,4,6,126,1,19,5,2,2015
16,5/7/2015,5,7,127,1,19,5,2,2015
23,5/8/2015,6,8,128,2,19,5,2,2015
45,5/9/2015,7,9,129,2,19,5,2,2015
65,5/10/2015,1,10,130,2,20,5,2,2015
68,5/11/2015,2,11,131,2,20,5,2,2015
57,5/12/2015,3,12,132,2,20,5,2,2015
19,5/13/2015,4,13,133,2,20,5,2,2015
8,5/14/2015,5,14,134,2,20,5,2,2015
7,5/15/2015,6,15,135,3,20,5,2,2015
46,5/16/2015,7,16,136,3,20,5,2,2015
79,5/17/2015,1,17,137,3,21,5,2,2015
70,5/18/2015,2,18,138,3,21,5,2,2015
52,5/19/2015,3,19,139,3,21,5,2,2015
10,5/20/2015,4,20,140,3,21,5,2,2015
64,5/21/2015,5,21,141,3,21,5,2,2015
2,5/22/2015,6,22,142,4,21,5,2,2015
77,5/23/2015,7,23,143,4,21,5,2,2015
20,5/24/2015,1,24,144,4,22,5,2,2015
53,5/25/2015,2,25,145,4,22,5,2,2015
5,5/26/2015,3,26,146,4,22,5,2,2015
4,5/27/2015,4,27,147,4,22,5,2,2015
80,5/28/2015,5,28,148,4,22,5,2,2015
90,5/29/2015,6,29,149,5,22,5,2,2015
62,5/30/2015,7,30,150,5,22,5,2,2015
40,5/31/2015,1,31,151,5,23,5,2,2015
18,6/1/2015,2,1,152,1,23,6,2,2015
13,6/2/2015,3,2,153,1,23,6,2,2015
15,6/3/2015,4,3,154,1,23,6,2,2015
25,6/4/2015,5,4,155,1,23,6,2,2015
30,6/5/2015,6,5,156,1,23,6,2,2015
50,6/6/2015,7,6,157,1,23,6,2,2015
35,6/7/2015,1,7,158,1,24,6,2,2015
34,6/8/2015,2,8,159,2,24,6,2,2015
87,6/9/2015,3,9,160,2,24,6,2,2015
17,6/10/2015,4,10,161,2,24,6,2,2015
56,6/11/2015,5,11,162,2,24,6,2,2015
38,6/12/2015,6,12,163,2,24,6,2,2015
27,6/13/2015,7,13,164,2,24,6,2,2015
55,6/14/2015,1,14,165,2,25,6,2,2015
29,6/15/2015,2,15,166,3,25,6,2,2015
89,6/16/2015,3,16,167,3,25,6,2,2015
3,6/17/2015,4,17,168,3,25,6,2,2015
83,6/18/2015,5,18,169,3,25,6,2,2015
1,6/19/2015,6,19,170,3,25,6,2,2015
63,6/20/2015,7,20,171,3,25,6,2,2015
58,6/21/2015,1,21,172,3,26,6,2,2015
28,6/22/2015,2,22,173,4,26,6,2,2015
81,6/23/2015,3,23,174,4,26,6,2,2015
11,6/24/2015,4,24,175,4,26,6,2,2015
39,6/25/2015,5,25,176,4,26,6,2,2015
21,6/26/2015,6,26,177,4,26,6,2,2015
85,6/27/2015,7,27,178,4,26,6,2,2015
60,6/28/2015,1,28,179,4,27,6,2,2015
76,6/29/2015,2,29,180,5,27,6,2,2015
22,6/30/2015,3,30,181,5,27,6,2,2015
24,7/1/2015,4,1,182,1,27,7,3,2015
67,7/2/2015,5,2,183,1,27,7,3,2015
49,7/3/2015,6,3,184,1,27,7,3,2015
36,7/4/2015,7,4,185,1,27,7,3,2015
43,7/5/2015,1,5,186,1,28,7,3,2015
93,7/6/2015,2,6,187,1,28,7,3,2015
94,7/7/2015,3,7,188,1,28,7,3,2015
95,7/9/2015,5,9,190,2,28,7,3,2015
